Location,2010 - 2015,2015 - 2020
Algeria,31.49,31.66
Angola,28.74,28.79
Benin,29,28.86
Botswana,28.07,28.06
Burkina Faso,29.38,29.23
Burundi,31.06,31.06
Cabo Verde,27.58,27.38
Cameroon,28.72,28.91
Central African Republic,28.92,28.92
Chad,28.57,28.76
Comoros,30.14,30.04
Congo,29.04,29.01
Côte d'Ivoire,29.08,29.08
Democratic Republic of the Congo,29.57,29.36
Djibouti,32.08,32.16
Egypt,27.6,27.6
Equatorial Guinea,28.34,28.06
Eritrea,29.67,29.54
Eswatini,27.99,27.7
Ethiopia,29.81,29.73
Gabon,28.98,29.21
Gambia,30.17,30.4
Ghana,29.88,29.79
Guinea,29.07,29.1
Guinea-Bissau,29.67,29.56
Kenya,28.84,28.7
Lesotho,28.17,27.91
Liberia,28.68,28.45
Libya,32.85,32.82
Madagascar,28.11,27.96
Malawi,28.34,28.04
Mali,29.04,29
Mauritania,30.51,30.49
Mauritius,27.82,28.14
Morocco,30.29,30.29
Mozambique,28.74,28.6
Namibia,29,29.01
Niger,29.07,29.06
Nigeria,29.8,29.81
Rwanda,30.38,30.32
Sao Tome and Principe,28.68,28.81
Senegal,30.15,30.26
Seychelles,27.43,27.51
Sierra Leone,29.04,28.73
Somalia,30.13,29.68
South Africa,27.8,27.72
South Sudan,29.78,29.57
Sudan,29.78,30.02
Togo,29.18,28.93
Tunisia,31.07,31.04
Uganda,29.04,28.84
United Republic of Tanzania,29.04,28.76
Zambia,28.75,28.76
Zimbabwe,27.96,28.2
